filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
0 W Point Ave Abington PA 19001.png,0 W Point Ave,Abington,PA,19001,2022 Google,May 2022,Picture,"https://www.google.com/maps/place/Jefferson+Abington+Hospital/@40.1202574,-75.1194717,3a,132.5y,90t/data=!3m8!1e2!3m6!1sAF1QipNVbPnLKPJtlxfeArAp9JMGdSD4mkfZIOBcpPk2!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNVbPnLKPJtlxfeArAp9JMGdSD4mkfZIOBcpPk2%3Dw152-h86-k-no!7i1080!8i608!4m5!3m4!1s0x89c6b050929d6641:0x4408eaeb5ba81dcc!8m2!3d40.1190689!4d-75.1199064"
0 Gay Ave Abington PA 19001.png,0 Gay Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/search/0+Gay+Ave+Abington+PA+19001/@40.1358237,-75.1412434,14z/data=!3m1!4b1"
0 Brook Rd Abington PA 19001.png,0 Brook Rd,Abington,PA,19001,2022 Google,Jun 2022,Picture,"https://www.google.com/maps/place/Brook+Rd,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.1121397,-75.1222924,3a,75y,290.72h,90t/data=!3m7!1e1!3m5!1sYepHA0foKHdjQKQV7qdZlw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DYepHA0foKHdjQKQV7qdZlw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D290.7198%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0f7ab4746a5:0x90077b5926d0c22b!8m2!3d40.1114709!4d-75.1201862"
0 Brook Rd Abington PA 19001.png,0 Brook Rd,Abington,PA,19001,2022 Google,Jun 2022,Picture,"https://www.google.com/maps/place/Brook+Rd,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.1121397,-75.1222924,3a,75y,290.72h,90t/data=!3m7!1e1!3m5!1sYepHA0foKHdjQKQV7qdZlw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DYepHA0foKHdjQKQV7qdZlw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D290.7198%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0f7ab4746a5:0x90077b5926d0c22b!8m2!3d40.1114709!4d-75.1201862"
0 Brook Rd Abington PA 19001.png,0 Brook Rd,Abington,PA,19001,2022 Google,Jun 2022,Picture,"https://www.google.com/maps/place/Brook+Rd,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.1121397,-75.1222924,3a,75y,290.72h,90t/data=!3m7!1e1!3m5!1sYepHA0foKHdjQKQV7qdZlw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DYepHA0foKHdjQKQV7qdZlw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D290.7198%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0f7ab4746a5:0x90077b5926d0c22b!8m2!3d40.1114709!4d-75.1201862"
2241 Albright Ave Abington PA 19001.png,2241 Albright Ave,Abington,PA,19001,2022 Google,Aug 2018,Picture,"https://www.google.com/maps/place/2241+Albright+Ave,+Abington,+PA+19001,+USA/@40.1223527,-75.1305623,3a,75y,40.69h,90t/data=!3m7!1e1!3m5!1speileSUCaHhQbBncmRXTZA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DpeileSUCaHhQbBncmRXTZA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D40.68517%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b05d9afc862b:0xdd2ce34fc132d5c1!8m2!3d40.1225088!4d-75.1303892"
1160 Fitzwatertown Rd Abington PA 19001.png,1160 Fitzwatertown Rd,Abington,PA,19001,2022 Google,Aug 2019,Picture,"https://www.google.com/maps/place/1160+Fitzwatertown+Rd,+Abington,+PA+19001,+USA/@40.1332495,-75.1516084,3a,75y,323.2h,90t/data=!3m7!1e1!3m5!1scn5Cml_BT3Uoe_yAusjkcw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dcn5Cml_BT3Uoe_yAusjkcw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D323.20343%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b075c43f8789:0xbae98c7d66ca94b9!8m2!3d40.134259!4d-75.1525999"
0 Woodland Rd Abington PA 19001.png,0 Woodland Rd,Abington,PA,19001,2022 Google,Aug 2018,Picture,"https://www.google.com/maps/place/Woodland+Rd,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.1254645,-75.1270319,3a,75y,327.35h,90t/data=!3m7!1e1!3m5!1sKm3HWFEaBpLWdJPMXe5eAw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DKm3HWFEaBpLWdJPMXe5eAw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D327.34906%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b04330b5556b:0xaa9115f628e8172c!8m2!3d40.125094!4d-75.1277064"
0 Webster Ave Abington PA 19001.png,0 Webster Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Webster+Ave,+Abington,+PA+19001,+USA/@40.1306681,-75.1163727,17z/data=!4m5!3m4!1s0x89c6b0497f958719:0x4148e6dac6d51219!8m2!3d40.1306681!4d-75.114184"
0 Rydal E Abington PA 19001.png,0 Rydal E,Abington,PA,19001,2022 Google,Jun 2022,Picture,"https://www.google.com/maps/place/Rydal+Rd,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.1085729,-75.1113682,3a,75y,336.38h,90t/data=!3m7!1e1!3m5!1s6RDPQ5pEwD_IsYeZE_hJPg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D6RDPQ5pEwD_IsYeZE_hJPg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D336.38373%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0fe8fd66533:0xfb063296ea742f53!8m2!3d40.1117976!4d-75.1090621"
0 Rubicam Ave Abington PA 19001.png,0 Rubicam Ave,Abington,PA,19001,2022 Google,Aug 2018,Picture,"https://www.google.com/maps/place/Rubicam+Ave,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.137495,-75.1248992,3a,75y,129.68h,90t/data=!3m7!1e1!3m5!1sZ3vzaiIvbk0Zymac6z7oKA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DZ3vzaiIvbk0Zymac6z7oKA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D129.68292%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b03929ab74ad:0x69dc97b99086e75e!8m2!3d40.1366538!4d-75.1256931"
0 Patane Ave Abington PA 19001.png,0 Patane Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Patane+Ave,+Abington,+PA+19001,+USA/@40.1333988,-75.1341104,17z/data=!4m5!3m4!1s0x89c6b06a876a729d:0xf96ddfd3b451fe53!8m2!3d40.1333988!4d-75.1319217"
943 Old York Rd Abington PA 19001.png,943 Old York Rd,Abington,PA,19001,2022 Google,Jun 2019,Picture,"https://www.google.com/maps/place/943+Old+York+Rd,+Abington,+PA+19001,+USA/@40.1081502,-75.122005,3a,75y,350.71h,90t/data=!3m7!1e1!3m5!1slOF3p_e3nNoUvtnOvzDjdA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DlOF3p_e3nNoUvtnOvzDjdA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D350.70944%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0f0d9557f1d:0xd708050ea34217e8!8m2!3d40.1084504!4d-75.122066"
0 Old Welsh Rd Abington PA 19001.png,0 Old Welsh Rd,Abington,PA,19001,2022 Google,Aug 2019,Picture,"https://www.google.com/maps/place/Old+Welsh+Rd,+OGONTZ+CAMPUS,+PA+19001,+USA/@40.1338611,-75.1188563,3a,75y,27.4h,90t/data=!3m7!1e1!3m5!1s_8VoNhHYXAjI9jgC0O_NoQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D_8VoNhHYXAjI9jgC0O_NoQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D27.399618%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b037e3836c7d:0xc511cd0036c31326!8m2!3d40.1346884!4d-75.1149202"
2417 Norwood Ave Abington PA 19001.png,2417 Norwood Ave,Abington,PA,19001,2022 Google,Aug 2019,Picture,"https://www.google.com/maps/place/2417+Norwood+Ave,+Abington,+PA+19001,+USA/@40.1265331,-75.1323426,3a,75y,23.37h,90t/data=!3m7!1e1!3m5!1sx2Ruwbtiqk4EKF6KeXc0vg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dx2Ruwbtiqk4EKF6KeXc0vg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D23.372265%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0681157ec5d:0xbd5ba18f575fbff3!8m2!3d40.126654!4d-75.1322772"
0 Huntingdon Pike Abington PA 19001.png,0 Huntingdon Pike,Abington,PA,19001,2022 Google,Jun 2022,Picture,"https://www.google.com/maps/place/Huntingdon+Pike,+Abington+Township,+PA,+USA/@40.1170289,-75.0691476,3a,75y,308.04h,90t/data=!3m7!1e1!3m5!1s7Vk5zpQhz2DDuZM7RUUu2Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D7Vk5zpQhz2DDuZM7RUUu2Q%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D308.04053%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b18ff2afa685:0x74376ed531a4de84!8m2!3d40.1128778!4d-75.0739903"
0 Galloway Ave Abington PA 19001.png,0 Galloway Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Galloway+Ave,+Abington+Township,+PA+19001,+USA/@40.138489,-75.138625,17z/data=!4m5!3m4!1s0x89c6b0147b5a2b11:0x107ea74a09e6dbdd!8m2!3d40.138489!4d-75.1364363"
0 Eckard Ave Abington PA 19001.png,0 Eckard Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Eckard+Ave,+Abington,+PA+19001,+USA/@40.1153616,-75.1209948,17z/data=!4m5!3m4!1s0x89c6b05789594f29:0xd988f45da57fc3f5!8m2!3d40.1153616!4d-75.1188061"
0 Eckard Ave Abington PA 19001.png,0 Eckard Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Eckard+Ave,+Abington,+PA+19001,+USA/@40.1153616,-75.1209948,17z/data=!4m5!3m4!1s0x89c6b05789594f29:0xd988f45da57fc3f5!8m2!3d40.1153616!4d-75.1188061"
0 Brookdale Ave Abington PA 19001.png,0 Brookdale Ave,Abington,PA,19001,2022 Google,,Map data,"https://www.google.com/maps/place/Brookdale+Ave,+Abington,+PA+19001,+USA/@40.1281679,-75.1375045,17z/data=!4m5!3m4!1s0x89c6b068eee63611:0x4c06c8d167ea5cf1!8m2!3d40.1281679!4d-75.1353158"
